Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
79003061;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;556;;;25070;743621.37;1026476.93;2018-12-20T00:00:00
79003851;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;591;;;25070;743547.23;1026395.82;2018-12-20T00:00:00
79003966;538647;Postøižín;;;;;126209;Postøižín;818771;K Moklinì;è.p.;466;;;25070;743495.67;1026617.44;2018-12-20T00:00:00
79004083;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;524;;;25070;743589.40;1026559.51;2018-12-20T00:00:00
79025111;538647;Postøižín;;;;;126209;Postøižín;2085445;Jelení;è.p.;498;;;25070;743644.27;1026535.48;2019-01-04T00:00:00
79025196;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;523;;;25070;743597.89;1026560.49;2019-01-04T00:00:00
79062733;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;550;;;25070;743483.80;1026488.98;2019-01-15T00:00:00
79063004;538647;Postøižín;;;;;126209;Postøižín;809551;Duhová;è.p.;384;;;25070;743298.97;1026359.59;2019-01-15T00:00:00
79107851;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;574;;;25070;743466.71;1026446.14;2019-01-31T00:00:00
79114431;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;525;;;25070;743582.73;1026576.67;2019-02-04T00:00:00
79129595;538647;Postøižín;;;;;126209;Postøižín;814431;Polní;è.p.;374;;;25070;743018.92;1026925.91;2019-02-08T00:00:00
79142206;538647;Postøižín;;;;;126209;Postøižín;1198173;V Jezírkách;è.p.;529;;;25070;743555.88;1026567.32;2019-02-12T00:00:00
79143679;538647;Postøižín;;;;;126209;Postøižín;2090449;Ježková;è.p.;568;;;25070;743566.28;1026462.26;2019-02-13T00:00:00
79191517;538647;Postøižín;;;;;126209;Postøižín;1197622;Kozomínská;è.p.;579;;;25070;743511.64;1026429.84;2019-03-04T00:00:00
